                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7647,                  1.434,                 1.0821,                0.84371,                0.69232,                0.77785,                0.45839,                 1.6227,                0.99271,                 1.0391,             0.00055422,             0.00055422,             0.00055422
                      2,                 1.6229,                0.94135,                 1.0334,                0.85386,                0.74414,                0.83564,                0.51167,                 1.5403,                0.84697,                 1.0107,             0.00056049,             0.00056049,             0.00056049
